state,action,value
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.0, 3.0, 2.0]",0,1.299539397239544
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.0, 3.0, 2.0]",1,1.5288627783334345
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.0, 3.0, 2.0]",2,1.322983245872427
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.0, 3.0, 2.0]",3,1.262068162964249
"[0.0, 0.0, 0.5, 0.4, 0.4, 0.5, 0.0, 3.0, 2.0]",0,1.324738104539577
"[0.0, 0.0, 0.5, 0.4, 0.4, 0.5, 0.0, 3.0, 2.0]",1,2.0606779974704414
"[0.0, 0.0, 0.5, 0.4, 0.4, 0.5, 0.0, 3.0, 2.0]",2,1.7459624176415947
"[0.0, 0.0, 0.5, 0.4, 0.4, 0.5, 0.0, 3.0, 2.0]",3,1.437668513107282
"[0.0, 0.0, 0.5, 0.4, 0.4, 0.5, 0.0, 4.0, 2.0]",0,0.16719686523621957
"[0.0, 0.0, 0.5, 0.4, 0.4, 0.5, 0.0, 4.0, 2.0]",1,0.3110629785227505
"[0.0, 0.0, 0.5, 0.4, 0.4, 0.5, 0.0, 4.0, 2.0]",2,1.2057925827665965
"[0.0, 0.0, 0.5, 0.4, 0.4, 0.5, 0.0, 4.0, 2.0]",3,0.5162566468756379
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.0, 4.0, 2.0]",0,0.7951524952003771
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.0, 4.0, 2.0]",1,0.7221510371468853
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.0, 4.0, 2.0]",2,0.729952743019092
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.0, 4.0, 2.0]",3,1.169452446436913
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.4, 1.0, 2.0]",0,0.4712643901458542
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.4, 1.0, 2.0]",1,0.5149638339996804
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.4, 1.0, 2.0]",2,1.0120764465235852
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.4, 1.0, 2.0]",3,0.4897257707950309
